word1,word2,count,database_id,keyge1_id,keyge2_id,dataset_id,cword
-,glycosphingolipid,8,15,,,9,9-79
-,heparan,1,15,,,9,9-80
-,heparin,1,15,,,9,9-81
-,hippo,3,15,,,9,9-82
-,host-pathogen,6,15,,,9,9-83
-,hs-gag,1,15,,,9,9-84
-,hse,2,15,,,9,9-85
-,human,6,15,,,9,9-86
-,inactivation,1,15,,,9,9-87
-,incl,8,15,,,9,9-88
-,interaction,7,15,,,9,9-89
-,interleukin-18-mediated,1,15,,,9,9-90
-,inward,1,15,,,9,9-91
-,isoglobo,1,15,,,9,9-92
-,junction,1,15,,,9,9-93
-,kinase,3,15,,,9,9-94
-,kv3,1,15,,,9,9-95
-,l1,1,15,,,9,9-96
-,lacto,6,15,,,9,9-97
-,map,2,15,,,9,9-98
-,mapk,5,15,,,9,9-99
-,mapk1,1,15,,,9,9-100
-,mcdc1,1,15,,,9,9-101
-,mechanisms,1,15,,,9,9-102
-,membrane,2,15,,,9,9-103
-,metabolism,1,15,,,9,9-104
-,mitogen-activated,2,15,,,9,9-105
-,mitophagy,3,15,,,9,9-106
-,mixed,8,15,,,9,9-107
-,mps,1,15,,,9,9-108
-,multiple,3,15,,,9,9-109
-,n-terminal,1,15,,,9,9-110
-,na,1,15,,,9,9-111
-,neolacto,6,15,,,9,9-112
-,nfkappab,1,15,,,9,9-113
-,nuclear,1,15,,,9,9-114
-,o-glycan,2,15,,,9,9-115
-,of,8,15,,,9,9-116
-,other,6,15,,,9,9-117
-,pathway,5,15,,,9,9-118
-,phase,8,15,,,9,9-119
-,phosphatase,2,15,,,9,9-120
-,potassium,6,15,,,9,9-121
-,ppara,2,15,,,9,9-122
-,process,1,15,,,9,9-123
-,processing,2,15,,,9,9-124
-,protein,3,15,,,9,9-125
-,raf-independent,1,15,,,9,9-126
-,rapid,7,15,,,9,9-127
-,receptor,1,15,,,9,9-128
-,rectifier,1,15,,,9,9-129
-,regulation,1,15,,,9,9-130
-,repeat,1,15,,,9,9-131
-,repolarisation,3,15,,,9,9-132
-,series,8,15,,,9,9-133
-,signaling,10,15,,,9,9-134
-,sly,1,15,,,9,9-135
-,species,3,15,,,9,9-136
-,sulfate,3,15,,,9,9-137
-,syndrome,1,15,,,9,9-138
-,tdu,1,15,,,9,9-139
-,ticam1,2,15,,,9,9-140
-,tight,1,15,,,9,9-141
-,tnfr1-induced,1,15,,,9,9-142
-,ubiquitin-like,1,15,,,9,9-143
-,ulk1,1,15,,,9,9-144
-,vii,1,15,,,9,9-145
-,vitamins,1,15,,,9,9-146
-,voltage,3,15,,,9,9-147
-anchor,biosynthesis,1,15,,,9,9-148
-anchor,cl:27883,1,15,,,9,9-149
-anchor,glycosylphosphatidylinositol,1,15,,,9,9-150
-anchor,gpi,1,15,,,9,9-151
-dependent,aldehyde,1,15,,,9,9-152
-dependent,cl:12963,1,15,,,9,9-153
-dependent,dehydrogenase,1,15,,,9,9-154
-dependent,nad,1,15,,,9,9-155
-dependent,o-methyltransferase,1,15,,,9,9-156
-dependent,p,1,15,,,9,9-157
-dependent,transmembrane,1,15,,,9,9-158
-glucosamine,3-sulfotransferase,1,15,,,9,9-159
-glucosamine,activity,1,15,,,9,9-160
-glucosamine,cl:27727,1,15,,,9,9-161
-glucosamine,heparan,1,15,,,9,9-162
-glucosamine,sulfate,1,15,,,9,9-163
-glucosamine,syndecan,1,15,,,9,9-164
-like,acetylcholine,1,15,,,9,9-165
-like,activity,1,15,,,9,9-166
-like,antigen,1,15,,,9,9-167
-like,cl:32527,1,15,,,9,9-168
-like,domain,1,15,,,9,9-169
-like,incl,1,15,,,9,9-170
-like,ly-6,1,15,,,9,9-171
-like,mixed,1,15,,,9,9-172
-like,receptor,1,15,,,9,9-173
-like,regulator,1,15,,,9,9-174
-like,upa,1,15,,,9,9-175
-methyltransferase,activity,2,15,,,9,9-176
-methyltransferase,adenine-n6-,2,15,,,9,9-177
-methyltransferase,cchc,1,15,,,9,9-178
-methyltransferase,cl:8034,1,15,,,9,9-179
-methyltransferase,cl:8059,1,15,,,9,9-180
-methyltransferase,domain,1,15,,,9,9-181
-methyltransferase,domain-containing,1,15,,,9,9-182
-methyltransferase,finger,1,15,,,9,9-183
-methyltransferase,hiv,1,15,,,9,9-184
-methyltransferase,incl,1,15,,,9,9-185
-methyltransferase,integrase-binding,1,15,,,9,9-186
-methyltransferase,mixed,1,15,,,9,9-187
-methyltransferase,protein,1,15,,,9,9-188
-methyltransferase,rrna,2,15,,,9,9-189
-methyltransferase,superfamily,1,15,,,9,9-190
-methyltransferase,zinc,1,15,,,9,9-191
-s-oxide,activity,1,15,,,9,9-192
-s-oxide,antioxidant,1,15,,,9,9-193
-s-oxide,cl:13134,1,15,,,9,9-194
-s-oxide,incl,1,15,,,9,9-195
-s-oxide,mixed,1,15,,,9,9-196
-s-oxide,peptide-methionine,1,15,,,9,9-197
-s-oxide,reductase,1,15,,,9,9-198
-s-oxide,s,1,15,,,9,9-199
-triphosphatase,5-adenosyl,1,15,,,9,9-200
-triphosphatase,binding,1,15,,,9,9-201
-triphosphatase,bis,1,15,,,9,9-202
-triphosphatase,c-term,1,15,,,9,9-203
-triphosphatase,cl:14113,1,15,,,9,9-204
-triphosphatase,decapping,1,15,,,9,9-205
-triphosphatase,enpp4,1,15,,,9,9-206
-triphosphatase,enzyme,1,15,,,9,9-207
-triphosphatase,mrna,1,15,,,9,9-208
-triphosphatase,scavenger,1,15,,,9,9-209
-type,cl:33074,1,15,,,9,9-210
-type,domain,1,15,,,9,9-211
-type,g,1,15,,,9,9-212
-type,gtpase,1,15,,,9,9-213
-type,guanine,1,15,,,9,9-214
-type,immortalization,1,15,,,9,9-215
-type,incl,1,15,,,9,9-216
-type,inducible,1,15,,,9,9-217
-type,large,1,15,,,9,9-218
-type,mixed,1,15,,,9,9-219
-type,nucleotide-binding,1,15,,,9,9-220
-type,protein,1,15,,,9,9-221
-type,up-regulated,1,15,,,9,9-222
-type,very,1,15,,,9,9-223
-type,vlig,1,15,,,9,9-224
0-methyl,acid,2,15,,,9,9-225
0-methyl,arthritis,2,15,,,9,9-226
0-methyl,cl:37531,1,15,,,9,9-227
0-methyl,cl:37534,1,15,,,9,9-228
0-methyl,farnesoic,2,15,,,9,9-229
0-methyl,incl,2,15,,,9,9-230
0-methyl,mixed,1,15,,,9,9-231
0-methyl,mostly,1,15,,,9,9-232
0-methyl,transferase,2,15,,,9,9-233
0-methyl,transient,2,15,,,9,9-234
0-methyl,uncharacterized,1,15,,,9,9-235
1-6,chordata,2,15,,,9,9-236
1-6,cl:16980,1,15,,,9,9-237
1-6,cl:16982,1,15,,,9,9-238
1-6,factor-binding,2,15,,,9,9-239
1-6,growth,2,15,,,9,9-240
1-6,incl,2,15,,,9,9-241
1-6,insulin-like,2,15,,,9,9-242
1-6,mixed,2,15,,,9,9-243
1-6,pappalysin-1,2,15,,,9,9-244
1-6,protein,2,15,,,9,9-245
1-acyl-sn-glycerol-3-phosphate,activity,1,15,,,9,9-246
1-acyl-sn-glycerol-3-phosphate,acyltransferase,1,15,,,9,9-247
1-acyl-sn-glycerol-3-phosphate,cl:14322,1,15,,,9,9-248
1-acyl-sn-glycerol-3-phosphate,glycerol-3-phosphate,1,15,,,9,9-249
1-acyl-sn-glycerol-3-phosphate,o-acyltransferase,1,15,,,9,9-250
1-acylglycerophosphocholine,activity,1,15,,,9,9-251
1-acylglycerophosphocholine,cl:14487,1,15,,,9,9-252
1-acylglycerophosphocholine,from,1,15,,,9,9-253
1-acylglycerophosphocholine,kennedy,1,15,,,9,9-254
1-acylglycerophosphocholine,o-acyltransferase,1,15,,,9,9-255
1-acylglycerophosphocholine,pathway,1,15,,,9,9-256
1-acylglycerophosphocholine,sphingolipids,1,15,,,9,9-257
1-alkenylglycerophosphoethanolamine,activity,1,15,,,9,9-258
1-alkenylglycerophosphoethanolamine,catabolism,1,15,,,9,9-259
1-alkenylglycerophosphoethanolamine,cl:14471,1,15,,,9,9-260
1-alkenylglycerophosphoethanolamine,glycerophospholipid,1,15,,,9,9-261
1-alkenylglycerophosphoethanolamine,o-acyltransferase,1,15,,,9,9-262
1-antitrypsin,alpha,1,15,,,9,9-263
1-antitrypsin,cl:19852,1,15,,,9,9-264
1-antitrypsin,deficiency,1,15,,,9,9-265
1-antitrypsin,trichomoniasis,1,15,,,9,9-266
1-like,4a,2,15,,,9,9-267
1-like,actin,1,15,,,9,9-268
1-like,amine,1,15,,,9,9-269
1-like,associated,1,15,,,9,9-270
1-like,autoantigen,1,15,,,9,9-271
1-like,b,1,15,,,9,9-272
1-like,b561,1,15,,,9,9-273
1-like,band,2,15,,,9,9-274
1-like,binding,2,15,,,9,9-275
1-like,butyrophilin,1,15,,,9,9-276
1-like,catabolic,1,15,,,9,9-277
1-like,cl:11416,1,15,,,9,9-278
1-like,cl:25202,1,15,,,9,9-279
1-like,cl:25212,1,15,,,9,9-280
1-like,cl:26805,1,15,,,9,9-281
1-like,cl:29032,1,15,,,9,9-282
1-like,cl:29268,1,15,,,9,9-283
1-like,cl:32160,1,15,,,9,9-284
1-like,cl:37464,1,15,,,9,9-285
1-like,cl:37466,1,15,,,9,9-286
1-like,cl:7320,1,15,,,9,9-287
1-like,cytochrome,1,15,,,9,9-288
1-like,deubiquitination,1,15,,,9,9-289
1-like,domain,4,15,,,9,9-290
1-like,domain-binding,2,15,,,9,9-291
1-like,eh,1,15,,,9,9-292
1-like,exonuclease,1,15,,,9,9-293
1-like,factor,1,15,,,9,9-294
1-like,gametocyte-specific,1,15,,,9,9-295
1-like,gtp,2,15,,,9,9-296
1-like,gtp-binding,2,15,,,9,9-297
1-like,in,1,15,,,9,9-298
1-like,incl,9,15,,,9,9-299
1-like,involved,1,15,,,9,9-300
1-like,lebercilin-like,1,15,,,9,9-301
1-like,mixed,8,15,,,9,9-302
1-like,mostly,1,15,,,9,9-303
1-like,neuronal,1,15,,,9,9-304
1-like,phosphatase,1,15,,,9,9-305
1-like,process,1,15,,,9,9-306
1-like,protein,8,15,,,9,9-307
1-like,protocadherin,1,15,,,9,9-308
1-like,pry,1,15,,,9,9-309
1-like,receptor,1,15,,,9,9-310
1-like,reductase,1,15,,,9,9-311
1-like,regulator,1,15,,,9,9-312
1-like,rna,1,15,,,9,9-313
1-like,scleroderma,1,15,,,9,9-314
1-like,sjoegren,1,15,,,9,9-315
1-like,spermatogenesis-associated,1,15,,,9,9-316
1-like,spry,1,15,,,9,9-317
1-like,subfamily,1,15,,,9,9-318
1-like,syndrome,1,15,,,9,9-319
1-like,trace,1,15,,,9,9-320
1-like,ubiquitin-dependent,1,15,,,9,9-321
1-like,uhrf1-binding,1,15,,,9,9-322
1-like,uncharacterized,1,15,,,9,9-323
1-like,ww,1,15,,,9,9-324
1-phosphate,binding,1,15,,,9,9-325
1-phosphate,ceramide,1,15,,,9,9-326
1-phosphate,cl:14756,1,15,,,9,9-327
1-phosphate,cl:14765,1,15,,,9,9-328
1-phosphate,edg-3,1,15,,,9,9-329
1-phosphate,incl,1,15,,,9,9-330
1-phosphate,mixed,1,15,,,9,9-331
1-phosphate,protease-activated,1,15,,,9,9-332
1-phosphate,receptor,1,15,,,9,9-333
1-phosphate,sphingosine,1,15,,,9,9-334
1-phosphatidylinositol,4-kinase,3,15,,,9,9-335
1-phosphatidylinositol,5-kinase,2,15,,,9,9-336
1-phosphatidylinositol,activity,3,15,,,9,9-337
1-phosphatidylinositol,cl:9599,1,15,,,9,9-338
1-phosphatidylinositol,cl:9601,1,15,,,9,9-339
1-phosphatidylinositol,cl:9604,1,15,,,9,9-340
1-phosphatidylinositol,disease,1,15,,,9,9-341
1-phosphatidylinositol,incl,1,15,,,9,9-342
1-phosphatidylinositol,mixed,1,15,,,9,9-343
1-phosphatidylinositol,parkinsons,1,15,,,9,9-344
1-phosphatidylinositol,phosphatidylinositol-4-phosphate,2,15,,,9,9-345
1-phosphatidylinositol-5-phosphate,4-kinase,1,15,,,9,9-346
1-phosphatidylinositol-5-phosphate,activity,1,15,,,9,9-347
1-phosphatidylinositol-5-phosphate,cl:9618,1,15,,,9,9-348
1-phosphatidylinositol-5-phosphate,ef,1,15,,,9,9-349
1-phosphatidylinositol-5-phosphate,hand,1,15,,,9,9-350
1-related,bax,2,15,,,9,9-351
1-related,beta,1,15,,,9,9-352
1-related,cl:37081,1,15,,,9,9-353
1-related,cl:37082,1,15,,,9,9-354
1-related,core,1,15,,,9,9-355
1-related,domain,1,15,,,9,9-356
1-related,e3-alpha,1,15,,,9,9-357
1-related,epididymal,1,15,,,9,9-358
1-related,four-disulfide,1,15,,,9,9-359
1-related,incl,2,15,,,9,9-360
1-related,inhibitor,2,15,,,9,9-361
1-related,mixed,2,15,,,9,9-362
1-related,protein,1,15,,,9,9-363
1-related,secretory,1,15,,,9,9-364
1-related,wap-type,1,15,,,9,9-365
10-monooxygenase,5-alpha-reductase,1,15,,,9,9-366
10-monooxygenase,activity,3,15,,,9,9-367
10-monooxygenase,androgen,2,15,,,9,9-368
10-monooxygenase,biosynthetic,2,15,,,9,9-369
10-monooxygenase,cholestenone,1,15,,,9,9-370
10-monooxygenase,cl:12793,1,15,,,9,9-371
10-monooxygenase,cl:12795,1,15,,,9,9-372
10-monooxygenase,cl:12805,1,15,,,9,9-373
10-monooxygenase,phenanthrene,3,15,,,9,9-374
10-monooxygenase,process,2,15,,,9,9-375
10g2,cl:29368,1,15,,,9,9-376
10g2,epm2a-interacting,1,15,,,9,9-377
10g2,incl,1,15,,,9,9-378
10g2,mixed,1,15,,,9,9-379
10g2,olfactory,1,15,,,9,9-380
10g2,protein,1,15,,,9,9-381
10g2,receptor,1,15,,,9,9-382
11-cis-retinal,14-reductase,1,15,,,9,9-383
11-cis-retinal,4-desaturase,1,15,,,9,9-384
11-cis-retinal,activity,1,15,,,9,9-385
11-cis-retinal,all-trans-retinol,1,15,,,9,9-386
11-cis-retinal,cl:12935,1,15,,,9,9-387
11-cis-retinal,incl,1,15,,,9,9-388
11-cis-retinal,mixed,1,15,,,9,9-389
11a,biogenesis,3,15,,,9,9-390
11a,cl:33920,1,15,,,9,9-391
11a,cl:33922,1,15,,,9,9-392
11a,cl:33934,1,15,,,9,9-393
11a,disorder,3,15,,,9,9-394
11a,flavin,2,15,,,9,9-395
11a,fmo,2,15,,,9,9-396
11a,incl,3,15,,,9,9-397
11a,interactions,1,15,,,9,9-398
11a,mixed,2,15,,,9,9-399
11a,monooxygenase,2,15,,,9,9-400
11a,mostly,1,15,,,9,9-401
11a,peroxisome,3,15,,,9,9-402
11a,protein,1,15,,,9,9-403
11a,regulatory,1,15,,,9,9-404
11a,signal,1,15,,,9,9-405
11a,uncharacterized,1,15,,,9,9-406
11z,14z-icosatetraenoic,1,15,,,9,9-407
11z,5-oxo-6e,1,15,,,9,9-408
11z,8z,1,15,,,9,9-409
11z,acid,1,15,,,9,9-410
11z,ankyrin,1,15,,,9,9-411
11z,binding,1,15,,,9,9-412
11z,cl:34058,1,15,,,9,9-413
11z,domain-containing,1,15,,,9,9-414
11z,incl,1,15,,,9,9-415
11z,mixed,1,15,,,9,9-416
11z,protein,1,15,,,9,9-417
11z,putative,1,15,,,9,9-418
11z,repeat,1,15,,,9,9-419
12-myristate,13-acetate,1,15,,,9,9-420
12-myristate,cl:37057,1,15,,,9,9-421
12-myristate,microvesicle,1,15,,,9,9-422
12-myristate,phorbol,1,15,,,9,9-423
12-myristate,response,1,15,,,9,9-424
12-myristate,to,1,15,,,9,9-425
126kda,centrosomal,2,15,,,9,9-426
126kda,cl:36690,1,15,,,9,9-427
126kda,cl:36726,1,15,,,9,9-428
126kda,domain,2,15,,,9,9-429
126kda,duf4498,2,15,,,9,9-430
126kda,function,2,15,,,9,9-431
126kda,incl,2,15,,,9,9-432
126kda,mixed,1,15,,,9,9-433
126kda,mostly,1,15,,,9,9-434
126kda,of,2,15,,,9,9-435
126kda,protein,2,15,,,9,9-436
126kda,uncharacterized,1,15,,,9,9-437
126kda,unknown,2,15,,,9,9-438
12a,70kda,1,15,,,9,9-439
12a,cl:3022,1,15,,,9,9-440
12a,cotranslational,1,15,,,9,9-441
12a,de,1,15,,,9,9-442
12a,folding,1,15,,,9,9-443
12a,heat,1,15,,,9,9-444
12a,novo,1,15,,,9,9-445
12a,protein,1,15,,,9,9-446
12a,shock,1,15,,,9,9-447
13-acetate,cl:37057,1,15,,,9,9-448
13-acetate,microvesicle,1,15,,,9,9-449
13-acetate,phorbol,1,15,,,9,9-450
13-acetate,response,1,15,,,9,9-451
13-acetate,to,1,15,,,9,9-452
13c,cl:18635,1,15,,,9,9-453
13c,domain,1,15,,,9,9-454
13c,factor,1,15,,,9,9-455
13c,math,1,15,,,9,9-456
13c,necrosis,1,15,,,9,9-457
13c,receptor,1,15,,,9,9-458
13c,traf3,1,15,,,9,9-459
13c,tumor,1,15,,,9,9-460
13d,activity,1,15,,,9,9-461
13d,cl:31504,1,15,,,9,9-462
13d,domain,1,15,,,9,9-463
13d,hydrolase,1,15,,,9,9-464
13d,incl,1,15,,,9,9-465
13d,mixed,1,15,,,9,9-466
13d,phenanthrene-epoxide,1,15,,,9,9-467
13d,protein,1,15,,,9,9-468
13d,sorting-associated,1,15,,,9,9-469
13d,uba,1,15,,,9,9-470
13d,vacuolar,1,15,,,9,9-471
13d1,c-reactive,1,15,,,9,9-472
13d1,cl:33368,1,15,,,9,9-473
13d1,incl,1,15,,,9,9-474
13d1,mixed,1,15,,,9,9-475
13d1,olfactory,1,15,,,9,9-476
13d1,pentaxin,1,15,,,9,9-477
13d1,pentraxin,1,15,,,9,9-478
13d1,protein,1,15,,,9,9-479
13d1,receptor,1,15,,,9,9-480
14-3-3,cl:9275,1,15,,,9,9-481
14-3-3,cl:9278,1,15,,,9,9-482
14-3-3,cl:9282,1,15,,,9,9-483
14-3-3,compartment,1,15,,,9,9-484
14-3-3,domain,3,15,,,9,9-485
14-3-3,incl,1,15,,,9,9-486
14-3-3,insulin-responsive,1,15,,,9,9-487
14-3-3,mixed,1,15,,,9,9-488
14-3-3,of,1,15,,,9,9-489
14-3-3,regulation,1,15,,,9,9-490
14-3-3,signaling,1,15,,,9,9-491
14-3-3,torc2,1,15,,,9,9-492
14-reductase,4-desaturase,1,15,,,9,9-493
14-reductase,activity,1,15,,,9,9-494
14-reductase,all-trans-retinol,1,15,,,9,9-495
14-reductase,cl:12935,1,15,,,9,9-496
14-reductase,incl,1,15,,,9,9-497
14-reductase,mixed,1,15,,,9,9-498
144c,cell,1,15,,,9,9-499
144c,cl:36429,1,15,,,9,9-500
144c,cl:36433,1,15,,,9,9-501
144c,coiled-coil,2,15,,,9,9-502
144c,cycle,1,15,,,9,9-503
144c,domain,1,15,,,9,9-504
144c,domain-containing,2,15,,,9,9-505
144c,eama,1,15,,,9,9-506
144c,incl,2,15,,,9,9-507
144c,mixed,2,15,,,9,9-508
144c,protein,2,15,,,9,9-509
144c,regulatory,1,15,,,9,9-510
14z-icosatetraenoic,5-oxo-6e,1,15,,,9,9-511
14z-icosatetraenoic,8z,1,15,,,9,9-512
14z-icosatetraenoic,acid,1,15,,,9,9-513
14z-icosatetraenoic,ankyrin,1,15,,,9,9-514
14z-icosatetraenoic,binding,1,15,,,9,9-515
14z-icosatetraenoic,cl:34058,1,15,,,9,9-516
14z-icosatetraenoic,domain-containing,1,15,,,9,9-517
14z-icosatetraenoic,incl,1,15,,,9,9-518
14z-icosatetraenoic,mixed,1,15,,,9,9-519
14z-icosatetraenoic,protein,1,15,,,9,9-520
14z-icosatetraenoic,putative,1,15,,,9,9-521
14z-icosatetraenoic,repeat,1,15,,,9,9-522
150a,atresia,1,15,,,9,9-523
150a,cl:9721,1,15,,,9,9-524
150a,incl,1,15,,,9,9-525
150a,intestinal,1,15,,,9,9-526
150a,mixed,1,15,,,9,9-527
150a,multiple,1,15,,,9,9-528
150a,protein,1,15,,,9,9-529
150a,transmembrane,1,15,,,9,9-530
15q13,assembly,1,15,,,9,9-531
15q13,carboxyl-terminal,1,15,,,9,9-532
15q13,chromosome,2,15,,,9,9-533
15q13,cl:7390,1,15,,,9,9-534
15q13,cl:7391,1,15,,,9,9-535
15q13,dna,1,15,,,9,9-536
15q13,finger,1,15,,,9,9-537
15q13,heterochromatin,1,15,,,9,9-538
15q13,hydrolase-like,1,15,,,9,9-539
15q13,incl,2,15,,,9,9-540
15q13,methylation-dependent,1,15,,,9,9-541
15q13,microdeletion,2,15,,,9,9-542
15q13,mixed,2,15,,,9,9-543
15q13,of,1,15,,,9,9-544
15q13,positive,1,15,,,9,9-545
15q13,regulation,1,15,,,9,9-546
15q13,syndrome,2,15,,,9,9-547
15q13,ubiquitin,1,15,,,9,9-548
15q13,zinc,1,15,,,9,9-549
161a,b,1,15,,,9,9-550
161a,cl:37366,1,15,,,9,9-551
161a,finger,1,15,,,9,9-552
161a,incl,1,15,,,9,9-553
161a,mixed,1,15,,,9,9-554
161a,pmz-type,1,15,,,9,9-555
161a,protein,1,15,,,9,9-556
161a,transmembrane,1,15,,,9,9-557
161a,zinc,1,15,,,9,9-558
16a,b,1,15,,,9,9-559
16a,cl:31456,1,15,,,9,9-560
16a,cysteine,1,15,,,9,9-561
16a,histidine-rich,1,15,,,9,9-562
16a,incl,1,15,,,9,9-563
16a,mixed,1,15,,,9,9-564
16a,phosphatase,1,15,,,9,9-565
16a,protein,1,15,,,9,9-566
16a,regulatory,1,15,,,9,9-567
16a,subunit,1,15,,,9,9-568
16p11,chronic,3,15,,,9,9-569
16p11,cl:33472,1,15,,,9,9-570
16p11,cl:33473,1,15,,,9,9-571
16p11,cl:33474,1,15,,,9,9-572
16p11,cl:33475,1,15,,,9,9-573
16p11,cl:33476,1,15,,,9,9-574
16p11,deletion,5,15,,,9,9-575
16p11,disease,3,15,,,9,9-576
16p11,domain,1,15,,,9,9-577
16p11,immunoglobulin,1,15,,,9,9-578
16p11,incl,3,15,,,9,9-579
16p11,mixed,3,15,,,9,9-580
16p11,o-acetylesterase,1,15,,,9,9-581
16p11,obstructive,3,15,,,9,9-582
16p11,proximal,5,15,,,9,9-583
16p11,pulmonary,3,15,,,9,9-584
16p11,sialate,1,15,,,9,9-585
16p11,syndrome,5,15,,,9,9-586
16p11,v-set,1,15,,,9,9-587
176a,4-domains,1,15,,,9,9-588
176a,a,1,15,,,9,9-589
176a,b,1,15,,,9,9-590
176a,cl:19663,1,15,,,9,9-591
176a,membrane-spanning,1,15,,,9,9-592
176a,protein,1,15,,,9,9-593
176a,subfamily,1,15,,,9,9-594
176a,transmembrane,1,15,,,9,9-595
178a,b,1,15,,,9,9-596
178a,cl:25020,1,15,,,9,9-597
178a,incl,1,15,,,9,9-598
178a,mixed,1,15,,,9,9-599
178a,protein,1,15,,,9,9-600
178a,tmem151,1,15,,,9,9-601
178a,transmembrane,1,15,,,9,9-602
179b,cl:35283,1,15,,,9,9-603
179b,fragile-x-f,1,15,,,9,9-604
179b,incl,1,15,,,9,9-605
179b,mixed,1,15,,,9,9-606
179b,protein,1,15,,,9,9-607
179b,transmembrane,1,15,,,9,9-608
17a,a-kinase,1,15,,,9,9-609
17a,anchor,1,15,,,9,9-610
17a,brinker,1,15,,,9,9-611
17a,cl:27130,1,15,,,9,9-612
17a,dna-binding,1,15,,,9,9-613
17a,domain,1,15,,,9,9-614
17a,incl,1,15,,,9,9-615
17a,mixed,1,15,,,9,9-616
17a,protein,1,15,,,9,9-617
17q11,chromosome,3,15,,,9,9-618
17q11,cl:25774,1,15,,,9,9-619
17q11,cl:25846,1,15,,,9,9-620
17q11,cl:25895,1,15,,,9,9-621
17q11,deletion,3,15,,,9,9-622
17q11,domain,2,15,,,9,9-623
17q11,elm2,2,15,,,9,9-624
17q11,evi2b,1,15,,,9,9-625
17q11,incl,3,15,,,9,9-626
17q11,mixed,1,15,,,9,9-627
17q11,mostly,2,15,,,9,9-628
17q11,protein,1,15,,,9,9-629
17q11,syndrome,3,15,,,9,9-630
17q11,uncharacterized,2,15,,,9,9-631
19kda-interacting,adenovirus,3,15,,,9,9-632
19kda-interacting,bcl2-,3,15,,,9,9-633
19kda-interacting,cl:28120,1,15,,,9,9-634
19kda-interacting,cl:28144,1,15,,,9,9-635
19kda-interacting,cl:28145,1,15,,,9,9-636
19kda-interacting,e,1,15,,,9,9-637
19kda-interacting,e1b,3,15,,,9,9-638
19kda-interacting,incl,3,15,,,9,9-639
19kda-interacting,microtubule-associated,2,15,,,9,9-640
19kda-interacting,mixed,3,15,,,9,9-641
19kda-interacting,protein,3,15,,,9,9-642
19kda-interacting,vitamin,1,15,,,9,9-643
19q13,allergen,1,15,,,9,9-644
